	DepressionID	P
886	30283	0.14
887	30400	0.14
888	29946	0.14
889	30454	0.14
890	30032	0.14
891	30124	0.14
892	30155	0.14
893	30092	0.14
894	30158	0.14
895	30105	0.14
896	30174	0.14
897	30344	0.14
898	30018	0.14
899	30499	0.14
900	30290	0.14
901	30487	0.14
902	30062	0.14
903	30129	0.14
904	30405	0.14
905	30413	0.14
906	30390	0.14
907	166437	0.14
908	30143	0.14
909	29976	0.14
910	30145	0.14
911	30435	0.14
912	30051	0.14
913	30277	0.14
914	30358	0.14
915	30287	0.14
916	30365	0.14
917	30100	0.14
918	30127	0.14
919	30479	0.14
920	30099	0.14
921	29991	0.14
922	30323	0.14
923	30303	0.14
924	30299	0.14
925	30343	0.14
926	30339	0.14
